year,month,users,userdays
2005,1,8340,15350
2005,2,6358,11872
2005,3,7560,15026
2005,4,8741,17239
2005,5,9946,20826
2005,6,10158,21728
2005,7,11947,26104
2005,8,11492,25195
2005,9,10980,23598
2005,10,11715,25038
2005,11,10493,21612
2005,12,11229,24073
2006,1,14261,29936
2006,2,12051,24932
2006,3,14264,32083
2006,4,16741,38114
2006,5,18211,42970
2006,6,19276,45824
2006,7,22624,57451
2006,8,24057,61911
2006,9,24039,59293
2006,10,23969,58638
2006,11,20079,47631
2006,12,21816,53976
2007,1,24996,59091
2007,2,22832,53195
2007,3,27272,68260
2007,4,28108,69192
2007,5,31310,79297
2007,6,32510,82587
2007,7,35752,91908
2007,8,33619,86049
2007,9,32379,81214
2007,10,32266,79716
2007,11,27803,66348
2007,12,28285,71012
2008,1,28524,70076
2008,2,27988,68640
2008,3,32550,84384
2008,4,32900,85248
2008,5,36533,98041
2008,6,35995,95744
2008,7,38965,106956
2008,8,39253,110939
2008,9,33441,89853
2008,10,35708,96553
2008,11,31689,82423
2008,12,31730,84567
2009,1,34359,94272
2009,2,30722,81058
2009,3,35057,98112
2009,4,35599,98919
2009,5,37513,108228
2009,6,37132,103454
2009,7,40734,119220
2009,8,38700,111506
2009,9,38723,104738
2009,10,37981,102775
2009,11,32727,85327
2009,12,32723,86675
2010,1,33650,92161
2010,2,32394,85381
2010,3,36246,99682
2010,4,39191,107658
2010,5,42356,117528
2010,6,47370,127082
2010,7,56264,154338
2010,8,53034,143707
2010,9,50559,135485
2010,10,52756,146640
2010,11,44797,118568
2010,12,45132,121450
2011,1,47867,136362
2011,2,44851,123149
2011,3,48124,140938
2011,4,50826,148513
2011,5,51077,152982
2011,6,49338,146481
2011,7,52194,158135
2011,8,44137,122862
2011,9,44891,129401
2011,10,46513,135403
2011,11,39417,112253
2011,12,39230,116643
2012,1,40249,123258
2012,2,37948,115300
2012,3,42614,137063
2012,4,43646,139428
2012,5,44214,144471
2012,6,43242,143616
2012,7,44391,148763
2012,8,43423,145382
2012,9,43066,143436
2012,10,42381,142717
2012,11,36464,118464
2012,12,40198,130058
2013,1,36013,114354
2013,2,33217,102980
2013,3,37269,125364
2013,4,36833,123882
2013,5,38920,130534
2013,6,36476,125762
2013,7,35389,124057
2013,8,31146,95759
2013,9,32871,111512
2013,10,31661,108615
2013,11,27921,92016
2013,12,27113,92070
2014,1,26299,89633
2014,2,24830,82443
2014,3,26273,93713
2014,4,24308,80414
2014,5,25910,94029
2014,6,26091,95344
2014,7,26948,99938
2014,8,26267,96698
2014,9,23566,80682
2014,10,22083,71395
2014,11,19308,60214
2014,12,20530,70507
2015,1,21074,73959
2015,2,19706,67341
2015,3,21749,80377
2015,4,22243,82495
2015,5,23300,90230
2015,6,21690,82483
2015,7,22179,86757
2015,8,22256,85276
2015,9,21154,74098
2015,10,20801,73919
2015,11,16917,57596
2015,12,17084,63205
2016,1,17015,62059
2016,2,15990,56777
2016,3,17303,66054
2016,4,17831,66985
2016,5,18054,67125
2016,6,18167,69219
2016,7,18806,73159
2016,8,16889,64186
2016,9,17144,63013
2016,10,18757,76383
2016,11,16641,64268
2016,12,11584,36915
2017,1,10827,35041
2017,2,10243,33480
2017,3,14797,55407
2017,4,16318,65813
2017,5,15249,55975
2017,6,11488,42764
2017,7,11989,44317
2017,8,11991,43039
2017,9,10819,38616
2017,10,10813,38754
2017,11,9063,30635
2017,12,8896,30106
2018,1,8136,25344
2018,2,7511,23662
2018,3,8649,28963
2018,4,8516,28710
2018,5,8767,31112
2018,6,8462,30110
2018,7,8441,30778
2018,8,7901,28028
2018,9,7627,26432
2018,10,7552,25890
2018,11,6266,20269
2018,12,5190,17240
