year,month,users,userdays
2005,1,29958,56427
2005,2,21048,40781
2005,3,25034,50533
2005,4,25966,52578
2005,5,30815,66007
2005,6,31704,69086
2005,7,38633,88718
2005,8,41123,95322
2005,9,35527,77750
2005,10,36157,79102
2005,11,31808,67717
2005,12,36077,79490
2006,1,48334,103878
2006,2,39240,84679
2006,3,44686,102345
2006,4,53898,126275
2006,5,55861,135140
2006,6,60671,150076
2006,7,72622,192560
2006,8,81288,221349
2006,9,74184,188835
2006,10,71733,180186
2006,11,62878,154157
2006,12,69477,177364
2007,1,83119,200673
2007,2,75777,182902
2007,3,84949,215872
2007,4,94410,240798
2007,5,96838,250570
2007,6,101897,263124
2007,7,114640,309590
2007,8,117088,319665
2007,9,104400,269064
2007,10,99774,252089
2007,11,89014,217767
2007,12,94364,239510
2008,1,98514,241190
2008,2,96011,237935
2008,3,107671,279041
2008,4,106364,273075
2008,5,119374,320182
2008,6,114417,303980
2008,7,127260,355036
2008,8,131561,377621
2008,9,109771,292372
2008,10,112939,299606
2008,11,101997,260389
2008,12,106806,276522
2009,1,119308,312523
2009,2,108079,275902
2009,3,116230,312456
2009,4,124402,337184
2009,5,129578,360958
2009,6,124556,337065
2009,7,139194,398551
2009,8,143029,411768
2009,9,130581,346085
2009,10,127315,333174
2009,11,109873,276725
2009,12,118432,303687
2010,1,129555,333870
2010,2,116052,291182
2010,3,128371,333544
2010,4,143798,375574
2010,5,152744,404758
2010,6,169485,438816
2010,7,202212,544627
2010,8,207112,564393
2010,9,186517,486898
2010,10,190668,507242
2010,11,169358,434741
2010,12,180223,468540
2011,1,184590,493012
2011,2,171597,448652
2011,3,185399,510719
2011,4,204362,580313
2011,5,194696,554850
2011,6,192284,545430
2011,7,203118,597414
2011,8,185614,520128
2011,9,176626,498239
2011,10,176993,494773
2011,11,155802,426431
2011,12,155068,433443
2012,1,162757,466898
2012,2,157992,449320
2012,3,165834,499798
2012,4,173910,523361
2012,5,170467,529622
2012,6,163869,507843
2012,7,173787,558151
2012,8,176425,572136
2012,9,163216,514470
2012,10,156208,490898
2012,11,137553,418889
2012,12,149715,454214
2013,1,140240,417131
2013,2,127824,373336
2013,3,140710,440778
2013,4,139323,435560
2013,5,147950,464369
2013,6,136110,437086
2013,7,133604,446456
2013,8,123948,371320
2013,9,125447,402408
2013,10,119589,385922
2013,11,106397,331497
2013,12,107993,342263
2014,1,106375,338915
2014,2,100972,313874
2014,3,108135,363517
2014,4,101494,319185
2014,5,104785,356124
2014,6,105191,363510
2014,7,109559,389605
2014,8,112054,397986
2014,9,95664,318306
2014,10,87390,267970
2014,11,80217,241897
2014,12,86182,283838
2015,1,89221,295727
2015,2,83064,270887
2015,3,88756,307938
2015,4,93634,333712
2015,5,95013,350988
2015,6,88214,323052
2015,7,90909,343308
2015,8,94427,356806
2015,9,84779,293121
2015,10,82520,283180
2015,11,68867,224885
2015,12,70862,248747
2016,1,70739,244005
2016,2,66007,226552
2016,3,71213,259797
2016,4,72381,261874
2016,5,74951,271429
2016,6,72949,265415
2016,7,77678,298178
2016,8,74099,278694
2016,9,69537,249029
2016,10,75123,293649
2016,11,66517,248133
2016,12,52917,160712
2017,1,49332,155865
2017,2,45046,140060
2017,3,61475,223567
2017,4,67940,267768
2017,5,62835,227792
2017,6,49361,173639
2017,7,51571,187747
2017,8,50086,181344
2017,9,44675,155164
2017,10,43111,148889
2017,11,35338,115344
2017,12,30880,96586
