obs,pid,monthnum,year,pud,park,month
1,0,1,2005,11,OLYM,January
2,0,2,2005,10,OLYM,February
3,0,3,2005,13,OLYM,March
4,0,4,2005,10,OLYM,April
5,0,5,2005,25,OLYM,May
6,0,6,2005,31,OLYM,June
7,0,7,2005,71,OLYM,July
8,0,8,2005,71,OLYM,August
9,0,9,2005,33,OLYM,September
10,0,10,2005,22,OLYM,October
11,0,11,2005,13,OLYM,November
12,0,12,2005,13,OLYM,December
13,0,1,2006,12,OLYM,January
14,0,2,2006,14,OLYM,February
15,0,3,2006,18,OLYM,March
16,0,4,2006,20,OLYM,April
17,0,5,2006,41,OLYM,May
18,0,6,2006,32,OLYM,June
19,0,7,2006,96,OLYM,July
20,0,8,2006,85,OLYM,August
21,0,9,2006,84,OLYM,September
22,0,10,2006,46,OLYM,October
23,0,11,2006,27,OLYM,November
24,0,12,2006,15,OLYM,December
25,0,1,2007,26,OLYM,January
26,0,2,2007,32,OLYM,February
27,0,3,2007,45,OLYM,March
28,0,4,2007,44,OLYM,April
29,0,5,2007,68,OLYM,May
30,0,6,2007,80,OLYM,June
31,0,7,2007,166,OLYM,July
32,0,8,2007,152,OLYM,August
33,0,9,2007,134,OLYM,September
34,0,10,2007,47,OLYM,October
35,0,11,2007,24,OLYM,November
36,0,12,2007,12,OLYM,December
37,0,1,2008,31,OLYM,January
38,0,2,2008,33,OLYM,February
39,0,3,2008,32,OLYM,March
40,0,4,2008,45,OLYM,April
41,0,5,2008,83,OLYM,May
42,0,6,2008,118,OLYM,June
43,0,7,2008,161,OLYM,July
44,0,8,2008,159,OLYM,August
45,0,9,2008,96,OLYM,September
46,0,10,2008,49,OLYM,October
47,0,11,2008,35,OLYM,November
48,0,12,2008,19,OLYM,December
49,0,1,2009,43,OLYM,January
50,0,2,2009,28,OLYM,February
51,0,3,2009,38,OLYM,March
52,0,4,2009,49,OLYM,April
53,0,5,2009,76,OLYM,May
54,0,6,2009,112,OLYM,June
55,0,7,2009,183,OLYM,July
56,0,8,2009,181,OLYM,August
57,0,9,2009,111,OLYM,September
58,0,10,2009,65,OLYM,October
59,0,11,2009,27,OLYM,November
60,0,12,2009,31,OLYM,December
61,0,1,2010,24,OLYM,January
62,0,2,2010,33,OLYM,February
63,0,3,2010,51,OLYM,March
64,0,4,2010,49,OLYM,April
65,0,5,2010,98,OLYM,May
66,0,6,2010,136,OLYM,June
67,0,7,2010,237,OLYM,July
68,0,8,2010,249,OLYM,August
69,0,9,2010,140,OLYM,September
70,0,10,2010,58,OLYM,October
71,0,11,2010,26,OLYM,November
72,0,12,2010,15,OLYM,December
73,0,1,2011,35,OLYM,January
74,0,2,2011,36,OLYM,February
75,0,3,2011,46,OLYM,March
76,0,4,2011,83,OLYM,April
77,0,5,2011,99,OLYM,May
78,0,6,2011,87,OLYM,June
79,0,7,2011,207,OLYM,July
80,0,8,2011,211,OLYM,August
81,0,9,2011,108,OLYM,September
82,0,10,2011,71,OLYM,October
83,0,11,2011,35,OLYM,November
84,0,12,2011,30,OLYM,December
85,0,1,2012,26,OLYM,January
86,0,2,2012,30,OLYM,February
87,0,3,2012,56,OLYM,March
88,0,4,2012,74,OLYM,April
89,0,5,2012,96,OLYM,May
90,0,6,2012,95,OLYM,June
91,0,7,2012,148,OLYM,July
92,0,8,2012,232,OLYM,August
93,0,9,2012,168,OLYM,September
94,0,10,2012,82,OLYM,October
95,0,11,2012,41,OLYM,November
96,0,12,2012,53,OLYM,December
97,0,1,2013,29,OLYM,January
98,0,2,2013,35,OLYM,February
99,0,3,2013,52,OLYM,March
100,0,4,2013,31,OLYM,April
101,0,5,2013,66,OLYM,May
102,0,6,2013,97,OLYM,June
103,0,7,2013,133,OLYM,July
104,0,8,2013,106,OLYM,August
105,0,9,2013,82,OLYM,September
106,0,10,2013,31,OLYM,October
107,0,11,2013,26,OLYM,November
108,0,12,2013,9,OLYM,December
109,0,1,2014,31,OLYM,January
110,0,2,2014,25,OLYM,February
111,0,3,2014,24,OLYM,March
112,0,4,2014,35,OLYM,April
113,0,5,2014,55,OLYM,May
114,0,6,2014,95,OLYM,June
115,0,7,2014,105,OLYM,July
116,0,8,2014,164,OLYM,August
117,0,9,2014,101,OLYM,September
118,0,10,2014,19,OLYM,October
119,0,11,2014,38,OLYM,November
120,0,12,2014,26,OLYM,December
121,0,1,2015,37,OLYM,January
122,0,2,2015,21,OLYM,February
123,0,3,2015,30,OLYM,March
124,0,4,2015,59,OLYM,April
125,0,5,2015,80,OLYM,May
126,0,6,2015,70,OLYM,June
127,0,7,2015,116,OLYM,July
128,0,8,2015,116,OLYM,August
129,0,9,2015,99,OLYM,September
130,0,10,2015,36,OLYM,October
131,0,11,2015,44,OLYM,November
132,0,12,2015,24,OLYM,December
133,0,1,2016,32,OLYM,January
134,0,2,2016,22,OLYM,February
135,0,3,2016,31,OLYM,March
136,0,4,2016,47,OLYM,April
137,0,5,2016,59,OLYM,May
138,0,6,2016,86,OLYM,June
139,0,7,2016,113,OLYM,July
140,0,8,2016,90,OLYM,August
141,0,9,2016,101,OLYM,September
142,0,10,2016,36,OLYM,October
143,0,11,2016,17,OLYM,November
144,0,12,2016,18,OLYM,December
145,0,1,2017,6,OLYM,January
146,0,2,2017,12,OLYM,February
147,0,3,2017,17,OLYM,March
148,0,4,2017,32,OLYM,April
149,0,5,2017,53,OLYM,May
150,0,6,2017,48,OLYM,June
151,0,7,2017,70,OLYM,July
152,0,8,2017,50,OLYM,August
153,0,9,2017,58,OLYM,September
154,0,10,2017,20,OLYM,October
155,0,11,2017,8,OLYM,November
156,0,12,2017,3,OLYM,December
157,1,1,2005,2,ACAD,January
158,1,2,2005,2,ACAD,February
159,1,3,2005,3,ACAD,March
160,1,4,2005,1,ACAD,April
161,1,5,2005,10,ACAD,May
162,1,6,2005,19,ACAD,June
163,1,7,2005,38,ACAD,July
164,1,8,2005,32,ACAD,August
165,1,9,2005,29,ACAD,September
166,1,10,2005,21,ACAD,October
167,1,11,2005,2,ACAD,November
168,1,12,2005,10,ACAD,December
169,1,1,2006,7,ACAD,January
170,1,2,2006,3,ACAD,February
171,1,3,2006,6,ACAD,March
172,1,4,2006,9,ACAD,April
173,1,5,2006,24,ACAD,May
174,1,6,2006,28,ACAD,June
175,1,7,2006,78,ACAD,July
176,1,8,2006,84,ACAD,August
177,1,9,2006,47,ACAD,September
178,1,10,2006,52,ACAD,October
179,1,11,2006,5,ACAD,November
180,1,12,2006,7,ACAD,December
181,1,1,2007,11,ACAD,January
182,1,2,2007,13,ACAD,February
183,1,3,2007,12,ACAD,March
184,1,4,2007,9,ACAD,April
185,1,5,2007,30,ACAD,May
186,1,6,2007,57,ACAD,June
187,1,7,2007,122,ACAD,July
188,1,8,2007,108,ACAD,August
189,1,9,2007,104,ACAD,September
190,1,10,2007,75,ACAD,October
191,1,11,2007,10,ACAD,November
192,1,12,2007,9,ACAD,December
193,1,1,2008,13,ACAD,January
194,1,2,2008,6,ACAD,February
195,1,3,2008,10,ACAD,March
196,1,4,2008,7,ACAD,April
197,1,5,2008,57,ACAD,May
198,1,6,2008,70,ACAD,June
199,1,7,2008,109,ACAD,July
200,1,8,2008,152,ACAD,August
201,1,9,2008,60,ACAD,September
202,1,10,2008,88,ACAD,October
203,1,11,2008,6,ACAD,November
204,1,12,2008,12,ACAD,December
205,1,1,2009,15,ACAD,January
206,1,2,2009,5,ACAD,February
207,1,3,2009,14,ACAD,March
208,1,4,2009,7,ACAD,April
209,1,5,2009,42,ACAD,May
210,1,6,2009,69,ACAD,June
211,1,7,2009,117,ACAD,July
212,1,8,2009,105,ACAD,August
213,1,9,2009,117,ACAD,September
214,1,10,2009,88,ACAD,October
215,1,11,2009,16,ACAD,November
216,1,12,2009,5,ACAD,December
217,1,1,2010,14,ACAD,January
218,1,2,2010,7,ACAD,February
219,1,3,2010,14,ACAD,March
220,1,4,2010,21,ACAD,April
221,1,5,2010,53,ACAD,May
222,1,6,2010,115,ACAD,June
223,1,7,2010,156,ACAD,July
224,1,8,2010,200,ACAD,August
225,1,9,2010,117,ACAD,September
226,1,10,2010,141,ACAD,October
227,1,11,2010,23,ACAD,November
228,1,12,2010,12,ACAD,December
229,1,1,2011,9,ACAD,January
230,1,2,2011,13,ACAD,February
231,1,3,2011,11,ACAD,March
232,1,4,2011,33,ACAD,April
233,1,5,2011,70,ACAD,May
234,1,6,2011,99,ACAD,June
235,1,7,2011,193,ACAD,July
236,1,8,2011,147,ACAD,August
237,1,9,2011,120,ACAD,September
238,1,10,2011,149,ACAD,October
239,1,11,2011,17,ACAD,November
240,1,12,2011,8,ACAD,December
241,1,1,2012,13,ACAD,January
242,1,2,2012,14,ACAD,February
243,1,3,2012,12,ACAD,March
244,1,4,2012,19,ACAD,April
245,1,5,2012,75,ACAD,May
246,1,6,2012,99,ACAD,June
247,1,7,2012,156,ACAD,July
248,1,8,2012,161,ACAD,August
249,1,9,2012,128,ACAD,September
250,1,10,2012,173,ACAD,October
251,1,11,2012,15,ACAD,November
252,1,12,2012,8,ACAD,December
253,1,1,2013,5,ACAD,January
254,1,2,2013,17,ACAD,February
255,1,3,2013,15,ACAD,March
256,1,4,2013,6,ACAD,April
257,1,5,2013,35,ACAD,May
258,1,6,2013,78,ACAD,June
259,1,7,2013,88,ACAD,July
260,1,8,2013,77,ACAD,August
261,1,9,2013,86,ACAD,September
262,1,10,2013,71,ACAD,October
263,1,11,2013,8,ACAD,November
264,1,12,2013,3,ACAD,December
265,1,1,2014,8,ACAD,January
266,1,2,2014,7,ACAD,February
267,1,3,2014,9,ACAD,March
268,1,4,2014,6,ACAD,April
269,1,5,2014,24,ACAD,May
270,1,6,2014,69,ACAD,June
271,1,7,2014,94,ACAD,July
272,1,8,2014,114,ACAD,August
273,1,9,2014,82,ACAD,September
274,1,10,2014,119,ACAD,October
275,1,11,2014,1,ACAD,November
276,1,12,2014,4,ACAD,December
277,1,1,2015,6,ACAD,January
278,1,2,2015,3,ACAD,February
279,1,3,2015,2,ACAD,March
280,1,4,2015,7,ACAD,April
281,1,5,2015,37,ACAD,May
282,1,6,2015,88,ACAD,June
283,1,7,2015,108,ACAD,July
284,1,8,2015,63,ACAD,August
285,1,9,2015,82,ACAD,September
286,1,10,2015,77,ACAD,October
287,1,11,2015,7,ACAD,November
288,1,12,2015,2,ACAD,December
289,1,1,2016,6,ACAD,January
290,1,2,2016,4,ACAD,February
291,1,3,2016,5,ACAD,March
292,1,4,2016,18,ACAD,April
293,1,5,2016,46,ACAD,May
294,1,6,2016,79,ACAD,June
295,1,7,2016,80,ACAD,July
296,1,8,2016,61,ACAD,August
297,1,9,2016,66,ACAD,September
298,1,10,2016,95,ACAD,October
299,1,11,2016,21,ACAD,November
300,1,12,2016,4,ACAD,December
301,1,1,2017,5,ACAD,January
302,1,2,2017,1,ACAD,February
303,1,3,2017,4,ACAD,March
304,1,4,2017,4,ACAD,April
305,1,5,2017,15,ACAD,May
306,1,6,2017,38,ACAD,June
307,1,7,2017,57,ACAD,July
308,1,8,2017,59,ACAD,August
309,1,9,2017,71,ACAD,September
310,1,10,2017,52,ACAD,October
311,1,11,2017,7,ACAD,November
312,1,12,2017,2,ACAD,December
313,2,1,2005,22,EVER,January
314,2,2,2005,14,EVER,February
315,2,3,2005,31,EVER,March
316,2,4,2005,9,EVER,April
317,2,5,2005,11,EVER,May
318,2,6,2005,12,EVER,June
319,2,7,2005,6,EVER,July
320,2,8,2005,20,EVER,August
321,2,9,2005,9,EVER,September
322,2,10,2005,8,EVER,October
323,2,11,2005,9,EVER,November
324,2,12,2005,21,EVER,December
325,2,1,2006,33,EVER,January
326,2,2,2006,12,EVER,February
327,2,3,2006,33,EVER,March
328,2,4,2006,39,EVER,April
329,2,5,2006,14,EVER,May
330,2,6,2006,10,EVER,June
331,2,7,2006,22,EVER,July
332,2,8,2006,19,EVER,August
333,2,9,2006,18,EVER,September
334,2,10,2006,19,EVER,October
335,2,11,2006,45,EVER,November
336,2,12,2006,55,EVER,December
337,2,1,2007,51,EVER,January
338,2,2,2007,40,EVER,February
